Name,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_volume_in,FF_volume_out,FF_bin_betweeness,FF_bin_closeness,FF_bin_pagerank,FF_bin_c_size,FF_bin_c_density,FF_bin_c_hierarchy,FF_bin_c_index,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_bin_betweeness,AT_bin_closeness,AT_bin_pagerank,AT_bin_c_size,AT_bin_c_density,AT_bin_c_hierarchy,AT_bin_c_index,AT_volume_in,AT_volume_out,RT_volume_in,RT_volume_out
golf,0.0666666666667,0.0242424242424,0.0424242424242,545.0,1150.0,0.000934878727689,0.356624541378,0.00206315936463,0.104114304609,0.0458109147322,0.00523395846399,0.155159177805,0.0545454545455,0.0242424242424,0.030303030303,0.00854567257339,0.275351213282,0.00239064628503,0.217692973127,0.0846660272267,0.0209545820845,0.323313582439,1075.0,933.0,283.0,258.0
dance,0.0787878787879,0.0121212121212,0.0666666666667,468.0,2273.0,0.000118239939933,0.454441558442,0.00107318973271,0.118328419459,0.0519731195949,0.0141190101222,0.184420549176,0.0909090909091,0.0242424242424,0.0666666666667,0.00197942135668,0.334263565891,0.00495648866834,0.146326508692,0.0558891216429,0.00907387103976,0.211289501375,916.0,4004.0,468.0,554.0
etsy_handmade,0.484848484848,0.206060606061,0.278787878788,8511.0,12365.0,0.00490381286972,0.523205741627,0.00540710775277,0.0313804372141,0.0380286529974,0.0134230895777,0.0828321797892,0.0363636363636,0.030303030303,0.00606060606061,0.0,0.262287104623,0.00128720542704,0.0119141532386,0.0,0.0,0.0119141532386,1061.0,130.0,57.0,648.0
radio,0.406060606061,0.224242424242,0.181818181818,6201.0,8230.0,0.00574170680337,0.497045454545,0.00996223121071,0.0341141257948,0.0266195954271,0.00611577576167,0.0668494969836,0.169696969697,0.0727272727273,0.0969696969697,0.0059091865607,0.361139028476,0.0100518467681,0.129564105048,0.0476075885599,0.014169023792,0.1913407174,2617.0,10433.0,1436.0,1050.0
fishing,0.133333333333,0.0545454545455,0.0787878787879,4327.0,4841.0,0.000311311293879,0.459695218077,0.00299766430995,0.224481841194,0.0688522198324,0.0205873781862,0.313921439213,0.0242424242424,0.0121212121212,0.0121212121212,0.0,0.273257287706,0.00169539749657,0.649006134501,0.0188141320143,0.021245126146,0.689065392662,1178.0,970.0,165.0,431.0
skiing,0.145454545455,0.0606060606061,0.0848484848485,2579.0,3397.0,0.0134641068142,0.462367864693,0.00219126468605,0.0998419716349,0.0727658858198,0.015923308149,0.188531165604,0.0787878787879,0.0242424242424,0.0545454545455,0.0054456684879,0.336612021858,0.0017919723074,0.175505780015,0.066251591306,0.016340962294,0.258098333615,1523.0,3170.0,1457.0,459.0
poetry,0.29696969697,0.127272727273,0.169696969697,5203.0,7499.0,0.000521905748977,0.493958215697,0.0036891031465,0.0673738554073,0.0536308235903,0.0136428391534,0.134647518151,0.0606060606061,0.0121212121212,0.0484848484848,0.000959676968129,0.338993710692,0.0010452795106,0.24656085703,0.145385234705,0.0320660824194,0.424012174154,381.0,2279.0,547.0,1609.0
meditation,0.581818181818,0.266666666667,0.315151515152,12856.0,15630.0,0.00511363210214,0.544707347447,0.00739840230568,0.0326942364945,0.0395802180548,0.0165273075743,0.0888017621235,0.0606060606061,0.0121212121212,0.0484848484848,0.00095074458859,0.348867313916,0.00156507233499,0.325835230736,0.088858817292,0.0196721128638,0.434366160892,1150.0,2858.0,1270.0,949.0
children,0.50303030303,0.2,0.30303030303,9099.0,15215.0,0.00211612818689,0.53195500152,0.00498398437631,0.0375700756267,0.0427254539884,0.0147995995634,0.0950951291786,0.145454545455,0.030303030303,0.115151515152,0.00652887178082,0.394871794872,0.00164660459629,0.0889157561224,0.0569795321709,0.0142576564511,0.160152944744,1401.0,5935.0,863.0,1036.0
astrology,0.218181818182,0.0787878787879,0.139393939394,2658.0,4495.0,4.68914653581e-05,0.480527327657,0.00215521430975,0.0667384677801,0.0518954208032,0.0112197662029,0.129853654786,0.030303030303,0.0,0.030303030303,0.0,0.300838968194,0.000903614457831,0.234624930407,0.0644077015039,0.00616251462049,0.305195146531,0,1083.0,130.0,592.0
linguistics,0.0606060606061,0.0181818181818,0.0424242424242,510.0,1223.0,5.72802990358e-05,0.398632946001,0.00117297001709,0.174232649605,0.0284155908575,0.00326274780484,0.205910988267,0.0424242424242,0.0121212121212,0.030303030303,0.000260759183087,0.294535519126,0.001058645525,0.23145694042,0.0572583536303,0.00922353456613,0.297938828617,363.0,903.0,1078.0,993.0
climatechange,0.424242424242,0.175757575758,0.248484848485,11456.0,15599.0,0.0040079036547,0.514739629303,0.00682420609524,0.0768136954227,0.0587549268324,0.0159784082196,0.151547030475,0.169696969697,0.0363636363636,0.133333333333,0.010435799358,0.397053406998,0.00287041417062,0.136617332268,0.0915034560387,0.0269674147388,0.255088203046,4736.0,13124.0,2787.0,4343.0
pharma,0.181818181818,0.0727272727273,0.109090909091,4511.0,7443.0,0.00384513859881,0.470575578268,0.00352256003527,0.167486252933,0.0709520772337,0.0156408103205,0.254079140487,0.121212121212,0.0363636363636,0.0848484848485,0.00374069138603,0.36388185654,0.00276732715655,0.241625510454,0.0468436367081,0.0102529284568,0.298722075619,2635.0,5698.0,1068.0,1836.0
hunting,0.181818181818,0.0787878787879,0.10303030303,4902.0,6359.0,0.000543664809599,0.469187449718,0.00338078207876,0.165720455389,0.0612320684901,0.0166327921008,0.243585315979,0.0424242424242,0.0181818181818,0.0242424242424,0.0017564324607,0.319407407407,0.00226158465101,0.306548421499,0.036414728667,0.005531104253,0.348494254419,1205.0,2384.0,197.0,355.0
flash,0.0363636363636,0.0181818181818,0.0181818181818,427.0,646.0,3.54151268785e-05,0.364804003336,0.0016058572319,0.213566235194,0.133725122844,0.0411348295826,0.388426187621,0.0666666666667,0.0181818181818,0.0484848484848,0.000121130679138,0.315204678363,0.00284559156553,0.298915162457,0.189254749722,0.0555065795249,0.543676491704,1899.0,3480.0,600.0,1282.0
writing,0.478787878788,0.236363636364,0.242424242424,11746.0,13775.0,0.00802325144674,0.511429406606,0.0073445550632,0.0545509832218,0.0489472102058,0.0142033731274,0.117701566555,0.133333333333,0.0484848484848,0.0848484848485,0.00531382995174,0.36388185654,0.00295767028734,0.189116455624,0.138989548928,0.0346936496747,0.362799654227,2946.0,8247.0,2416.0,2353.0
humanrights_activism_justice,0.593939393939,0.29696969697,0.29696969697,15110.0,14643.0,0.00983540787511,0.535537190083,0.00993083799737,0.031292646543,0.0361608577874,0.0134277831058,0.0808812874363,0.254545454545,0.145454545455,0.109090909091,0.0232935410104,0.383288888889,0.00710219831785,0.0699249434097,0.0600815234242,0.01597099163,0.145977458464,9663.0,10334.0,6227.0,4528.0
html,0.0484848484848,0.030303030303,0.0181818181818,1225.0,1047.0,0.000705597698334,0.364804003336,0.00365958892746,0.331172277946,0.0767267079088,0.0102716433441,0.418170629199,0.109090909091,0.0606060606061,0.0484848484848,0.0171641233777,0.319407407407,0.00681332408793,0.270578933806,0.148447013505,0.0369399129386,0.45596586025,5781.0,5580.0,1461.0,1912.0
